time,open,high,low,close,tick_volume,spread,real_volume
2023-05-24,1974.9,1985.27,1956.7,1957.15,120013,8,0
2023-05-25,1957.3,1964.73,1938.85,1940.67,122933,8,0
2023-05-26,1940.22,1957.22,1936.69,1946.47,112966,8,0
2023-05-29,1941.74,1949.67,1940.19,1942.93,58764,8,0
2023-05-30,1943.47,1963.47,1931.93,1959.22,121367,8,0
2023-05-31,1959.07,1974.73,1953.61,1962.5,119258,8,0
2023-06-01,1962.69,1983.12,1953.33,1977.41,118931,5,0
2023-06-02,1977.23,1983.4,1947.92,1948.21,117169,5,0
2023-06-05,1946.37,1963.98,1938.08,1961.74,110405,5,0
2023-06-06,1961.52,1966.37,1954.31,1963.23,102689,5,0
2023-06-07,1963.36,1970.16,1939.74,1939.85,108518,5,0
2023-06-08,1940.25,1970.46,1939.48,1965.51,110182,0,0
2023-06-09,1965.66,1973.0,1956.57,1960.4,96293,5,0
2023-06-12,1959.79,1966.96,1949.16,1957.36,106483,5,0
2023-06-13,1957.26,1970.73,1939.99,1943.42,118425,5,0
2023-06-14,1943.26,1960.17,1939.63,1941.76,116760,5,0
2023-06-15,1941.52,1960.23,1924.63,1957.91,131660,5,0
2023-06-16,1957.31,1967.87,1953.23,1957.33,119403,5,0
2023-06-19,1957.86,1958.66,1947.76,1950.28,64075,5,0
2023-06-20,1950.91,1956.73,1929.75,1936.13,118265,5,0
2023-06-21,1936.2,1939.47,1919.18,1932.62,116347,5,0
2023-06-22,1932.67,1934.92,1912.33,1913.65,104117,5,0
2023-06-23,1913.87,1937.22,1910.02,1921.41,111425,5,0
2023-06-26,1924.86,1933.31,1921.48,1923.0,99091,5,0
2023-06-27,1923.16,1930.63,1910.88,1913.53,108341,5,0
2023-06-28,1914.04,1917.15,1902.79,1907.3,104006,5,0
2023-06-29,1907.56,1913.03,1892.89,1908.13,113277,5,0
2023-06-30,1908.3,1922.74,1900.51,1919.1,114564,5,0
2023-07-03,1918.58,1930.94,1909.98,1921.38,94779,5,0
2023-07-04,1921.22,1930.68,1919.77,1925.7,56356,5,0
2023-07-05,1925.36,1935.04,1914.76,1915.08,104673,5,0
2023-07-06,1915.26,1927.57,1902.57,1910.78,113591,5,0
2023-07-07,1910.64,1934.85,1909.5,1925.09,109444,5,0
2023-07-10,1924.53,1928.07,1912.62,1925.18,94803,5,0
2023-07-11,1925.21,1938.47,1924.32,1932.12,96816,5,0
2023-07-12,1932.24,1959.63,1932.1,1957.31,111160,5,0
2023-07-13,1956.96,1963.52,1952.35,1960.32,111404,5,0
2023-07-14,1960.26,1963.77,1950.86,1955.3,106754,5,0
2023-07-17,1954.63,1959.83,1945.73,1954.76,86381,5,0
2023-07-18,1954.47,1984.32,1954.47,1978.73,111070,5,0
2023-07-19,1978.69,1980.92,1969.71,1976.82,94496,5,0
